ActionParameters,duration,ParameterCode
Article 406,53,1
Article 121,47,1
Article 265,69,1
Article 227,107,1
Article 56,34,
Article 279,33,
Article 59,61,
Article 99,19,
Article 162,66,
Article 408,74,
Article 27,8,
Article 340,9,
Article 430,57,
Article 306,23,
Article 306,5,
Article 322,22,
Article 454,4,
Article 152,7,
Article 152,2,
Article 50,6,
Article 423,31,
Article 3,23,
Article 86,39,
Article 265,2,
Article 446,4,
Article 124,21,
Article 265,17,
Article 446,23,
Article 124,26,
Article 63,92,
Article 213,39,
Article 267,93,
Article 442,23,
Article 133,32,
Article 302,22,
Article 198,30,
Article 164,40,
Article 264,7,
Article 253,7,
Article 441,5,
Article 112,8,
Article 112,16,
Article 79,15,
Article 4,14,
Article 4,6,
Article 449,12,
Article 263,17,
Article 38,26,
Article 117,44,
Article 251,109,
Article 222,108,
Article 436,10,
Article 457,20,
Article 308,80,
Article 143,157,
Article 320,36,
Article 40,47,
Article 434,12,
Article 260,39,
Article 72,8,
Article 72,46,
Article 260,7,
Article 72,12,
Article 408,20,
Article 81,22,
Article 446,30,
Article 63,62,
Article 258,199,
Article 121,68,
Article 133,7,
Article 302,21,
Article 198,5,
Article 198,3,
Article 164,23,
Article 253,37,
Article 112,16,
Article 79,20,
Article 4,18,
Article 449,17,
Article 38,20,
Article 117,27,
Article 117,45,
Article 251,12,
Article 222,13,
Article 436,20,
Article 111,12,
Article 457,39,
Article 143,17,
Article 320,22,
Article 40,44,
Article 40,102,
Article 421,54,
Article 424,17,
Article 402,23,
Article 452,41,
Article 28,86,
Article 142,33,
Article 307,20,
Article 141,38,
Article 141,25,
Article 376,18,
Article 327,26,
Article 146,53,
Article 275,31,
Article 277,59,
Article 16,11,
Article 365,7,
Article 285,7,
Article 200,12,
Article 286,8,
Article 167,14,
Article 48,46,
Article 367,10,
Article 269,17,
Article 233,11,
Article 47,39,
Article 19,56,
Article 265,15,
Article 117,6,
Article 251,8,
Article 436,17,
Article 111,7,
Article 308,13,
Article 143,43,
Article 320,18,
Article 40,13,
Article 28,11,
Article 170,20,
Article 311,19,
Article 138,35,
Article 141,22,
Article 254,22,
Article 113,11,
Article 178,30,
Article 263,76,
Article 297,6,
Article 211,37,
Article 211,4,
Article 183,54,
Article 183,3,
Article 4,160,
Article 195,20,
Article 35,12,
Article 68,193,
Article 79,92,
Article 294,103,
Article 2,68,
Article 208,23,
Article 434,14,
Article 434,3,
Article 253,10,
Article 264,8,
Article 198,6,
Article 257,15,
Article 97,19,
Article 164,21,
Article 337,107,
Article 250,20,
Article 250,7,
Article 442,59,
Article 213,43,
Article 406,56,
Article 406,12,
Article 265,62,
Article 56,57,
Article 63,13,
Article 56,31,
Article 227,88,
Article 279,38,
Article 59,22,
Article 121,6,
Article 406,35,
Article 265,12,
Article 121,26,
Article 45,36,
Article 45,7,
Article 344,52,
Article 386,69,
Article 284,77,
Article 236,14,
Article 40,26,
Article 213,57,
Article 81,12,
Article 63,52,
Article 227,91,
Article 227,7,
Article 56,20,
Article 279,58,
Article 375,43,
Article 410,44,
Article 251,41,
Article 265,65,
Article 446,21,
Article 124,194,
Article 124,2,
Article 446,13,
Article 63,12,
Article 63,4,
Article 213,10,
Article 267,13,
Article 442,25,
Article 133,32,
Article 253,17,
Article 121,16,
Article 121,20,
Article 99,62,
Article 375,28,
Article 128,98,
Article 121,19,
Article 265,2,
Article 121,40,
Article 265,36,
Article 306,37,
Article 408,0,
Article 406,3,
Article 121,90,
Article 408,166,
Article 322,75,
Article 306,24,
Article 430,40,
Article 340,12,
Article 27,20,
Article 408,80,
Article 162,74,
Article 99,141,
Article 59,242,
Article 454,28,
Article 423,109,
Article 3,30,
Article 86,67,
Article 105,91,
Article 81,0,
Article 105,5,
Article 86,33,
Article 213,17,
Article 267,133,
Article 133,5,
Article 133,10,
Article 302,42,
Article 117,72,
Article 251,28,
Article 117,12,
Article 251,17,
Article 222,80,
Article 251,12,
Article 251,4,
Article 251,1,
Article 117,14,
Article 222,9,
Article 93,15,
Article 436,17,
Article 111,12,
Article 143,17,
Article 457,57,
Article 40,99,
Article 421,85,
Article 189,69,
Article 189,10,
Article 40,36,
Article 189,20,
Article 452,64,
Article 142,153,
Article 22,23,
Article 307,15,
Article 344,92,
Article 284,36,
Article 275,85,
Article 446,91,
Article 124,12,
Article 213,22,
Article 442,7,
Article 302,51,
Article 167,34,
Article 285,49,
Article 447,82,
Article 365,15,
Article 392,15,
Article 167,18,
Article 19,255,
Article 265,57,
Article 446,54,
Article 213,216,
Article 308,283,
Article 265,9,
Article 147,33,
Article 138,0,
Article 143,7,
Article 430,4,
Article 419,140,
Article 210,66,
Article 139,30,
Article 362,22,
Article 211,8,
Article 85,43,
Article 160,56,
Article 45,15,
Article 82,0,
Article 452,51,
Article 82,41,
Article 279,64,
Article 340,0,
Article 87,96,
Article 38,16,
Article 375,139,
Article 123,10,
Article 123,106,
Article 263,261,
Article 205,57,
Article 117,76,
Article 176,10,
Article 140,46,
Article 195,40,
Article 320,0,
Article 56,119,
Article 322,0,
Article 306,18,
Article 430,47,
Article 430,1,
Article 430,0,
Article 168,167,
Article 125,4,
Article 397,3,
Article 275,217,
Article 227,142,
Article 452,83,
Article 442,294,
Article 124,0,
Article 124,1,
Article 227,0,
Article 406,6,
Article 406,21,
Article 121,22,
Article 265,154,
Article 265,26,
Article 227,9,
Article 56,65,
Article 279,34,
Article 279,10,
Article 279,4,
Article 59,48,
Article 99,7,
Article 162,26,
Article 408,48,
Article 340,7,
Article 419,18,
Article 267,23,
Article 258,9,
Article 391,5,
Article 409,4,
Article 259,3,
Article 441,10,
Article 190,7,
Article 117,51,
Article 93,8,
Article 228,49,
Article 308,39,
Article 147,5,
Article 209,16,
Article 307,30,
Article 42,13,
Article 61,2,
Article 433,4,
Article 214,2,
Article 383,7,
Article 440,9,
Article 64,8,
Article 7,13,
Article 246,3,
Article 242,10,
Article 242,4,
Article 372,2,
Article 62,15,
Article 130,7,
Article 62,7,
Article 109,7,
Article 268,28,
Article 262,10,
Article 19,0,
Article 406,37,
Article 121,28,
Article 265,48,
Article 227,143,
Article 56,51,
Article 279,47,
Article 59,46,
Article 99,21,
Article 162,20,
Article 408,54,
Article 27,13,
Article 340,7,
Article 430,37,
Article 430,3,
Article 340,1,
Article 430,4,
Article 306,23,
Article 306,1,
Article 306,1,
Article 430,2,
Article 306,4,
Article 322,20,
Article 322,8,
Article 454,5,
Article 152,7,
Article 152,2,
Article 50,8,
Article 50,2,
Article 152,5,
Article 105,3,
Article 86,3,
Article 152,1,
Article 50,1,
Article 423,2,
Article 50,3,
Article 423,29,
Article 3,36,
Article 3,3,
Article 86,25,
Article 105,35,
Article 81,36,
Article 105,10,
Article 81,11,
Article 81,2,
Article 81,2,
Article 210,24,
Article 210,2,
Article 256,12,
Article 256,4,
Article 446,17,
Article 446,8,
Article 124,58,
Article 63,9,
Article 446,10,
Article 124,26,
Article 124,4,
Article 124,3,
Article 63,36,
Article 213,59,
Article 419,43,
Article 419,3,
Article 267,25,
Article 442,22,
Article 15,10,
Article 358,19,
Article 358,1,
Article 250,20,
Article 133,5,
Article 133,13,
Article 258,9,
Article 360,3,
Article 258,4,
Article 360,27,
Article 360,2,
Article 41,13,
Article 41,4,
Article 404,9,
Article 337,9,
Article 74,2,
Article 337,2,
Article 74,12,
Article 74,2,
Article 74,3,
Article 157,13,
Article 166,3,
Article 175,4,
Article 175,3,
Article 166,6,
Article 157,5,
Article 432,21,
Article 282,5,
Article 165,4,
Article 387,8,
Article 112,7,
Article 166,6,
Article 175,6,
Article 419,1,
Article 419,1,
Article 157,8,
Article 157,30,
Article 166,4,
Article 175,7,
Article 220,5,
Article 302,26,
Article 302,3,
Article 255,5,
Article 378,10,
Article 97,14,
Article 97,2,
Article 97,1,
Article 378,4,
Article 97,4,
Article 400,9,
Article 400,1,
Article 400,2,
Article 332,7,
Article 198,7,
Article 391,5,
Article 391,1,
Article 409,7,
Article 409,3,
Article 89,4,
Article 89,8,
Article 301,2,
Article 89,2,
Article 301,24,
Article 89,3,
Article 301,2,
Article 304,7,
Article 304,1,
Article 164,12,
Article 164,2,
Article 259,4,
Article 259,4,
Article 259,2,
Article 164,4,
Article 259,5,
Article 196,3,
Article 391,7,
Article 164,12,
Article 164,2,
Article 391,2,
Article 89,6,
Article 400,8,
Article 198,7,
Article 264,7,
Article 264,2,
Article 253,8,
Article 264,4,
Article 198,2,
Article 264,14,
Article 264,6,
Article 264,6,
Article 253,6,
Article 253,3,
Article 253,1,
Article 434,5,
Article 434,8,
Article 434,4,
Article 116,14,
Article 441,2,
Article 116,8,
Article 441,3,
Article 190,5,
Article 190,4,
Article 196,13,
Article 196,2,
Article 223,5,
Article 193,10,
Article 193,2,
Article 193,2,
Article 112,31,
Article 112,2,
Article 223,9,
Article 223,187,
Article 223,2,
Article 129,15,
Article 223,1,
Article 129,1,
Article 155,11,
Article 155,3,
Article 155,2,
Article 191,12,
Article 155,1,
Article 191,6,
Article 193,1,
Article 193,7,
Article 112,9,
Article 193,2,
Article 112,14,
Article 112,5,
Article 112,1,
Article 115,5,
Article 80,4,
Article 80,2,
Article 180,4,
Article 180,4,
Article 196,5,
Article 196,4,
Article 294,8,
Article 294,8,
Article 366,7,
Article 366,4,
Article 366,2,
Article 362,7,
Article 362,2,
Article 2,11,
Article 2,6,
Article 387,6,
Article 387,3,
Article 79,7,
Article 182,3,
Article 60,5,
Article 219,6,
Article 219,2,
Article 150,4,
Article 54,13,
Article 54,3,
Article 54,2,
Article 102,8,
Article 135,4,
Article 132,3,
Article 139,8,
Article 139,2,
Article 422,3,
Article 422,3,
Article 88,4,
Article 393,2,
Article 260,7,
Article 260,3,
Article 195,8,
Article 195,6,
Article 371,9,
Article 371,3,
Article 135,19,
Article 135,2,
Article 35,5,
Article 68,2,
Article 35,1,
Article 68,7,
Article 314,4,
Article 422,2,
Article 314,4,
Article 422,6,
Article 1,4,
Article 1,4,
Article 4,7,
Article 211,2,
Article 4,2,
Article 211,2,
Article 4,12,
Article 211,4,
Article 108,16,
Article 108,4,
Article 108,2,
Article 183,9,
Article 183,1,
Article 183,13,
Article 183,4,
Article 221,12,
Article 221,3,
Article 95,4,
Article 381,9,
Article 95,2,
Article 221,10,
Article 95,5,
Article 381,11,
Article 165,6,
Article 165,3,
Article 217,4,
Article 78,10,
Article 78,2,
Article 161,3,
Article 282,6,
Article 183,5,
Article 381,6,
Article 9,2,
Article 165,5,
Article 72,4,
Article 181,4,
Article 289,13,
Article 289,7,
Article 385,3,
Article 5,4,
Article 203,4,
Article 351,5,
Article 92,3,
Article 318,3,
Article 354,4,
Article 412,7,
Article 412,2,
Article 203,3,
Article 341,1,
Article 289,2,
Article 341,8,
Article 289,10,
Article 426,4,
Article 232,8,
Article 232,3,
Article 73,4,
Article 388,3,
Article 385,4,
Article 385,2,
Article 168,26,
Article 73,1,
Article 388,1,
Article 385,2,
Article 168,4,
Article 449,6,
Article 263,14,
Article 449,5,
Article 263,2,
Article 123,34,
Article 123,1,
Article 38,14,
Article 38,2,
Article 87,61,
Article 87,1,
Article 375,19,
Article 119,12,
Article 382,17,
Article 245,19,
Article 241,6,
Article 67,46,
Article 67,2,
Article 67,3,
Article 128,18,
Article 128,2,
Article 324,8,
Article 324,2,
Article 8,15,
Article 8,4,
Article 127,15,
Article 336,19,
Article 240,28,
Article 240,5,
Article 240,5,
Article 125,21,
Article 103,9,
Article 110,12,
Article 44,206,
Article 240,47,
Article 240,2,
Article 240,4,
Article 125,4,
Article 118,41,
Article 70,197,
Article 305,148,
Article 448,92,
Article 225,143,
Article 23,8,
Article 356,2,
Article 356,4,
Article 356,57,
Article 34,36,
Article 273,24,
Article 30,33,
Article 30,3,
Article 30,1,
Article 273,2,
Article 30,4,
Article 330,22,
Article 330,2,
Article 91,56,
Article 159,20,
Article 159,2,
Article 335,20,
Article 6,4,
Article 6,8,
Article 6,5,
Article 65,23,
Article 33,7,
Article 230,3,
Article 357,40,
Article 199,19,
Article 276,6,
Article 276,5,
Article 394,8,
Article 331,65,
Article 76,20,
Article 299,13,
Article 299,2,
Article 415,8,
Article 37,13,
Article 37,4,
Article 75,8,
Article 315,3,
Article 438,17,
Article 359,10,
Article 309,6,
Article 416,11,
Article 187,7,
Article 83,3,
Article 292,12,
Article 292,3,
Article 184,4,
Article 338,27,
Article 231,2,
Article 338,1,
Article 231,9,
Article 231,3,
Article 151,6,
Article 51,33,
Article 51,7,
Article 51,6,
Article 364,11,
Article 379,9,
Article 379,5,
Article 144,9,
Article 144,2,
Article 300,2,
Article 53,5,
Article 295,6,
Article 202,10,
Article 130,12,
Article 130,4,
Article 62,8,
Article 428,5,
Article 109,8,
Article 243,5,
Article 268,8,
Article 268,1,
Article 262,6,
Article 19,4,
Article 262,6,
Article 268,3,
Article 243,1,
Article 262,4,
Article 19,24,
Article 268,16,
Article 268,18,
Article 268,1,
Article 262,16,
Article 19,61,
Article 19,3,
Article 84,7,
Article 84,3,
Article 47,26,
Article 47,2,
Article 233,9,
Article 233,3,
Article 269,16,
Article 269,1,
Article 239,4,
Article 367,8,
Article 278,4,
Article 278,3,
Article 29,4,
Article 48,45,
Article 48,3,
Article 270,43,
Article 270,3,
Article 350,5,
Article 432,74,
Article 432,1,
Article 25,10,
Article 26,9,
Article 11,10,
Article 11,2,
Article 418,15,
Article 185,7,
Article 185,3,
Article 207,10,
Article 207,2,
Article 58,14,
Article 58,4,
Article 167,24,
Article 167,2,
Article 10,4,
Article 174,3,
Article 174,2,
Article 287,3,
Article 244,2,
Article 286,7,
Article 158,4,
Article 200,9,
Article 420,4,
Article 77,3,
Article 458,5,
Article 411,4,
Article 444,4,
Article 447,7,
Article 69,3,
Article 43,5,
Article 413,8,
Article 31,2,
Article 303,2,
Article 14,4,
Article 431,3,
Article 122,2,
Article 18,34,
Article 18,2,
Article 450,6,
Article 374,16,
Article 98,30,
Article 98,20,
Article 98,16,
Article 98,3,
Article 98,1,
Article 66,90,
Article 66,1,
Article 104,11,
Article 104,7,
Article 32,12,
Article 32,3,
Article 237,3,
Article 24,5,
Article 368,3,
Article 370,5,
Article 370,6,
Article 313,3,
Article 313,2,
Article 101,3,
Article 101,2,
Article 192,27,
Article 192,2,
Article 131,3,
Article 57,3,
Article 46,2,
Article 435,4,
Article 403,3,
Article 266,5,
Article 285,10,
Article 365,4,
Article 16,6,
Article 277,6,
Article 82,14,
Article 82,4,
Article 137,3,
Article 71,5,
Article 20,6,
Article 36,6,
Article 397,10,
Article 372,4,
Article 349,3,
Article 107,4,
Article 107,4,
Article 194,10,
Article 194,3,
Article 171,17,
Article 171,5,
Article 363,18,
Article 169,3,
Article 407,8,
Article 407,16,
Article 342,9,
Article 90,8,
Article 238,10,
Article 238,4,
Article 348,14,
Article 348,2,
Article 321,8,
Article 456,5,
Article 296,5,
Article 42,8,
Article 134,6,
Article 61,3,
Article 433,4,
Article 214,6,
Article 383,4,
Article 440,11,
Article 440,1,
Article 64,6,
Article 440,16,
Article 440,104,
Article 64,12,
Article 7,23,
Article 7,2,
Article 246,6,
Article 242,31,
Article 242,4,
Article 439,2,
Article 293,50,
Article 293,3,
Article 271,14,
Article 145,3,
Article 145,78,
Article 145,80,
Article 145,2,
Article 136,6,
Article 399,9,
Article 261,68,
Article 261,3,
Article 55,35,
Article 55,3,
Article 390,5,
Article 390,5,
Article 154,8,
Article 154,2,
Article 218,7,
Article 247,12,
Article 329,7,
Article 94,15,
Article 94,18,
Article 396,9,
Article 392,4,
Article 275,6,
Article 146,1,
Article 319,16,
Article 319,3,
Article 352,7,
Article 156,8,
Article 156,3,
Article 425,6,
Article 425,5,
Article 425,9,
Article 425,3,
Article 425,5,
Article 96,4,
Article 96,14,
Article 96,4,
Article 215,4,
Article 445,10,
Article 445,7,
Article 215,3,
Article 445,4,
Article 204,6,
Article 173,3,
Article 323,10,
Article 323,1,
Article 179,64,
Article 179,2,
Article 229,4,
Article 333,39,
Article 355,8,
Article 334,11,
Article 334,2,
Article 398,6,
Article 21,18,
Article 21,2,
Article 178,11,
Article 178,3,
Article 178,2,
Article 113,11,
Article 178,1,
Article 113,1,
Article 254,7,
Article 346,5,
Article 389,5,
Article 453,32,
Article 248,4,
Article 284,3,
Article 290,10,
Article 327,16,
Article 376,4,
Article 141,2,
Article 369,53,
Article 235,11,
Article 345,3,
Article 326,2,
Article 386,5,
Article 138,3,
Article 311,7,
Article 405,9,
Article 405,2,
Article 344,3,
Article 172,2,
Article 170,2,
Article 429,34,
Article 429,3,
Article 52,9,
Article 226,3,
Article 216,7,
Article 188,12,
Article 188,3,
Article 224,15,
Article 120,5,
Article 307,15,
Article 22,7,
Article 142,2,
Article 186,3,
Article 28,17,
Article 28,3,
Article 106,3,
Article 395,4,
Article 39,2,
Article 274,1,
Article 339,2,
Article 149,3,
Article 401,22,
Article 377,2,
Article 343,3,
Article 343,2,
Article 177,10,
Article 414,12,
Article 414,5,
Article 414,2,
Article 212,1,
Article 212,7,
Article 212,1,
Article 212,2,
Article 45,12,
Article 45,3,
Article 160,8,
Article 85,3,
Article 347,12,
Article 163,4,
Article 201,20,
Article 201,1,
Article 148,6,
Article 452,19,
Article 100,17,
Article 402,8,
Article 189,12,
Article 424,6,
Article 206,2,
Article 421,4,
Article 40,5,
Article 40,2,
Article 40,107,
Article 320,10,
Article 126,11,
Article 353,2,
Article 236,3,
Article 209,2,
Article 312,15,
Article 147,19,
Article 288,10,
Article 288,2,
Article 308,9,
Article 437,15,
Article 283,19,
Article 17,9,
Article 328,9,
Article 316,17,
Article 457,21,
Article 111,7,
Article 111,3,
Article 436,5,
Article 93,3,
Article 222,3,
Article 251,4,
Article 117,7,
Article 310,13,
Article 310,2,
Article 451,1,
Article 451,7,
Article 361,11,
Article 361,2,
Article 12,7,
Article 384,62,
Article 384,43,
Article 114,6,
Article 427,4,
Article 205,4,
Article 417,207,
Article 417,250,
Article 417,2,
Article 176,69,
Article 280,33,
Article 280,7,
Article 249,253,
Article 249,3,
Article 140,4,
Article 410,193,
Article 410,2,
Article 298,4,
Article 44,11,
Article 110,107,
Article 110,1,
Article 103,69,
Article 103,2,
Article 125,7,
Article 125,2,
Article 123,6,
Article 240,1,
Article 336,38,
Article 432,13,
Article 145,23,
Article 399,2,
Article 136,1,
Article 145,26,
Article 160,6,
Article 406,9,
Article 121,0,
Article 265,123,
Article 227,0,
Article 56,100,
Article 279,17,
Article 59,23,
Article 99,3,
Article 162,15,
Article 408,95,
Article 322,9,
Article 306,3,
Article 306,1,
Article 306,3,
Article 430,22,
Article 454,14,
Article 152,14,
Article 50,48,
Article 423,45,
Article 3,57,
Article 86,91,
Article 105,71,
Article 81,79,
Article 446,96,
Article 124,0,
Article 419,0,
Article 406,7,
Article 121,10,
Article 265,6,
Article 227,4,
Article 227,3,
Article 56,9,
Article 279,4,
Article 59,5,
Article 99,5,
Article 162,114,
Article 59,50,
Article 121,20,
Article 265,7,
Article 265,1,
Article 265,2,
Article 227,24,
Article 56,15,
Article 279,25,
Article 59,28,
Article 99,10,
Article 162,9,
Article 408,27,
Article 27,8,
Article 340,12,
Article 430,16,
Article 306,139,
Article 322,2,
Article 322,1,
Article 322,9,
Article 419,5,
Article 454,10,
Article 152,11,
Article 50,12,
Article 50,2,
Article 50,2,
Article 423,43,
Article 3,31,
Article 86,0,
Article 86,2,
Article 86,3,
Article 105,13,
Article 81,23,
Article 210,23,
Article 446,30,
Article 63,0,
Article 256,10,
Article 306,9,
Article 322,4,
Article 340,11,
Article 430,12,
Article 306,0,
Article 406,221,
Article 121,5,
Article 121,99,
Article 265,73,
Article 227,67,
Article 227,10,
Article 227,11,
Article 56,27,
Article 279,28,
Article 59,39,
Article 162,33,
Article 306,10,
Article 322,12,
Article 63,59,
Article 419,49,
Article 384,19,
Article 322,63,
Article 306,21,
Article 430,30,
Article 406,88,
Article 121,48,
Article 265,51,
Article 227,33,
Article 56,50,
Article 279,90,
Article 59,73,
Article 162,34,
Article 408,54,
Article 27,13,
Article 340,9,
Article 430,3,
Article 306,10,
Article 322,45,
Article 454,8,
Article 152,14,
Article 50,15,
Article 50,5,
Article 423,53,
Article 3,21,
Article 86,44,
Article 105,41,
Article 81,53,
Article 210,64,
Article 256,15,
Article 446,43,
Article 124,67,
Article 124,3,
Article 63,15,
Article 213,44,
Article 419,46,
Article 267,39,
Article 442,42,
Article 15,14,
Article 15,2,
Article 358,21,
Article 358,2,
Article 358,4,
Article 250,23,
Article 250,20,
Article 133,5,
Article 250,2,
Article 133,21,
Article 133,3,
Article 258,38,
Article 133,3,
Article 258,3,
Article 360,23,
Article 41,21,
Article 41,6,
Article 404,32,
Article 404,3,
Article 337,1,
Article 337,14,
Article 337,1,
Article 74,18,
Article 74,2,
Article 157,30,
Article 157,2,
Article 175,33,
Article 175,3,
Article 166,20,
Article 166,11,
Article 220,10,
Article 302,31,
Article 302,10,
Article 255,11,
Article 378,89,
Article 302,4,
Article 255,5,
Article 255,3,
Article 378,4,
Article 378,3,
Article 378,2,
Article 97,20,
Article 97,2,
Article 400,100,
Article 97,5,
Article 400,5,
Article 400,6,
Article 332,8,
Article 198,10,
Article 391,20,
Article 409,7,
Article 391,3,
Article 198,5,
Article 332,8,
Article 198,6,
Article 391,7,
Article 409,8,
Article 89,13,
Article 301,17,
Article 301,3,
Article 304,9,
Article 164,16,
Article 259,11,
Article 259,9,
Article 259,4,
Article 259,4,
Article 391,6,
Article 164,6,
Article 89,5,
Article 400,23,
Article 193,27,
Article 112,14,
Article 193,12,
Article 223,9,
Article 190,17,
Article 116,13,
Article 434,10,
Article 253,11,
Article 387,16,
Article 2,17,
Article 362,8,
Article 366,7,
Article 182,7,
Article 182,4,
Article 182,1,
Article 182,4,
Article 79,24,
Article 182,4,
Article 60,7,
Article 60,5,
Article 219,13,
Article 54,10,
Article 102,8,
Article 135,6,
Article 132,5,
Article 139,10,
Article 422,10,
Article 88,7,
Article 393,4,
Article 260,11,
Article 195,15,
Article 195,5,
Article 371,6,
Article 135,6,
Article 35,8,
Article 68,25,
Article 314,10,
Article 422,7,
Article 1,6,
Article 4,18,
Article 211,9,
Article 108,36,
Article 183,13,
Article 221,25,
Article 221,3,
Article 95,5,
Article 95,2,
Article 95,1,
Article 381,14,
Article 165,10,
Article 165,5,
Article 217,5,
Article 78,11,
Article 161,5,
Article 282,7,
Article 183,13,
Article 381,7,
Article 9,5,
Article 165,17,
Article 165,2,
Article 72,38,
Article 72,2,
Article 181,8,
Article 289,15,
Article 385,9,
Article 5,13,
Article 203,10,
Article 351,16,
Article 351,7,
Article 351,5,
Article 92,5,
Article 318,9,
Article 354,6,
Article 412,13,
Article 203,4,
Article 341,15,
Article 289,11,
Article 426,11,
Article 232,28,
Article 73,6,
Article 388,5,
Article 385,5,
Article 168,53,
Article 449,10,
Article 263,18,
Article 263,3,
Article 123,50,
Article 38,3,
Article 38,2,
Article 87,6,
Article 87,3,
Article 375,5,
Article 119,23,
Article 240,20,
Article 123,13,
Article 38,27,
Article 87,62,
Article 375,38,
Article 119,27,
Article 382,31,
Article 245,12,
Article 241,13,
Article 67,20,
Article 128,20,
Article 324,8,
Article 240,56,
Article 336,11,
Article 384,19,
Article 125,29,
Article 103,40,
Article 110,9,
Article 44,10,
Article 298,26,
Article 410,10,
Article 140,27,
Article 249,13,
Article 176,6,
Article 176,2,
